SKU ID,SKU Subdivision,SKU Region,SKU Province,Farm ID,Farm Province,Farm Latitude,Farm Longitude
3007,Spinach,Miền Tây,T. Kiên Giang,DC02,CẦN THƠ,10.001594,105.774215
3007,Spinach,Miền Tây,T. Long An,DC02,CẦN THƠ,10.001594,105.774215
3007,Spinach,Miền Tây,T. Sóc Trăng,DC02,CẦN THƠ,10.001594,105.774215
3007,Spinach,Miền Tây,T. Tiền Giang,DC02,CẦN THƠ,10.001594,105.774215
3007,Spinach,Miền Tây,T. Trà Vinh,DC02,CẦN THƠ,10.001594,105.774215
3007,Spinach,Miền Bắc,T. Bắc Giang,DC03,HẢI DƯƠNG,20.902447,106.439247
3007,Spinach,Miền Bắc,T. Bắc Kạn,DC03,HẢI DƯƠNG,20.902447,106.439247
3007,Spinach,Miền Bắc,T. Bắc Ninh,DC03,HẢI DƯƠNG,20.902447,106.439247
3007,Spinach,Miền Bắc,T. Cao Bằng,DC03,HẢI DƯƠNG,20.902447,106.439247
3007,Spinach,Miền Bắc,T. Hà Giang,DC01,HƯNG YÊN,20.914679,106.075413
3007,Spinach,Miền Bắc,T. Hà Nam,DC06,NGHỆ AN,18.829766,105.661935
3007,Spinach,Miền Bắc,T. Hà Tĩnh,DC06,NGHỆ AN,18.829766,105.661935
3007,Spinach,Miền Bắc,T. Hòa Bình,DC01,HƯNG YÊN,20.914679,106.075413
3008,Spinach,Miền Tây,T. An Giang,DC02,CẦN THƠ,10.001594,105.774215
3007,Spinach,Miền Bắc,T. Hưng Yên,DC01,HƯNG YÊN,20.914679,106.075413
3007,Spinach,Miền Bắc,T. Hải Dương,DC03,HẢI DƯƠNG,20.902447,106.439247
3007,Spinach,Miền Bắc,T. Lai Châu,DC01,HƯNG YÊN,20.914679,106.075413
3007,Spinach,Miền Bắc,T. Lào Cai,DC01,HƯNG YÊN,20.914679,106.075413
3007,Spinach,Miền Bắc,T. Lạng Sơn,DC03,HẢI DƯƠNG,20.902447,106.439247
3007,Spinach,Miền Bắc,T. Nam Định,DC06,NGHỆ AN,18.829766,105.661935
3007,Spinach,Miền Bắc,T. Nghệ An,DC06,NGHỆ AN,18.829766,105.661935
3007,Spinach,Miền Bắc,T. Ninh Bình,DC06,NGHỆ AN,18.829766,105.661935
3007,Spinach,Miền Bắc,T. Phú Thọ,DC01,HƯNG YÊN,20.914679,106.075413
3007,Spinach,Miền Bắc,T. Quảng Ninh,DC04,,,
3007,Spinach,Miền Bắc,T. Sơn La,DC01,HƯNG YÊN,20.914679,106.075413
3007,Spinach,Miền Bắc,T. Thanh Hóa,DC06,NGHỆ AN,18.829766,105.661935
3007,Spinach,Miền Bắc,T. Thái Bình,DC04,,,
3007,Spinach,Miền Bắc,T. Thái Nguyên,DC03,HẢI DƯƠNG,20.902447,106.439247
3007,Spinach,Miền Bắc,T. Tuyên Quang,DC01,HƯNG YÊN,20.914679,106.075413
3007,Spinach,Miền Bắc,T. Vĩnh Phúc,DC01,HƯNG YÊN,20.914679,106.075413
3007,Spinach,Miền Bắc,T. Yên Bái,DC01,HƯNG YÊN,20.914679,106.075413
3007,Spinach,Miền Bắc,T. Điện Biên,DC01,HƯNG YÊN,20.914679,106.075413
3007,Spinach,Miền Bắc,TP. Hà Nội,DC01,HƯNG YÊN,20.914679,106.075413
3007,Spinach,Miền Bắc,TP. Hải Phòng,DC04,,,
3007,Spinach,Miền Trung,T. Bình Định,DC05,BÌNH DƯƠNG,10.903039,106.757201
3007,Spinach,Miền Trung,T. Gia Lai,DC05,BÌNH DƯƠNG,10.903039,106.757201
3007,Spinach,Miền Trung,T. Khánh Hòa,DC05,BÌNH DƯƠNG,10.903039,106.757201
3007,Spinach,Miền Trung,T. Kon Tum,DC05,BÌNH DƯƠNG,10.903039,106.757201
3009,Spinach,Miền Tây,T. An Giang,DC02,CẦN THƠ,10.001594,105.774215
3007,Spinach,Miền Trung,T. Ninh Thuận,DC05,BÌNH DƯƠNG,10.903039,106.757201
3009,Spinach,Miền Tây,T. Bạc Liêu,DC02,CẦN THƠ,10.001594,105.774215
3007,Spinach,Miền Trung,T. Phú Yên,DC05,BÌNH DƯƠNG,10.903039,106.757201
3009,Spinach,Miền Tây,T. Bến Tre,DC02,CẦN THƠ,10.001594,105.774215
3007,Spinach,Miền Trung,T. Quảng Bình,DC06,NGHỆ AN,18.829766,105.661935
3007,Spinach,Miền Trung,T. Quảng Nam,DC07,ĐÀ NẴNG,16.079667,108.138906
3007,Spinach,Miền Trung,T. Quảng Ngãi,DC07,ĐÀ NẴNG,16.079667,108.138906
3007,Spinach,Miền Trung,T. Quảng Trị,DC06,NGHỆ AN,18.829766,105.661935
3007,Spinach,Miền Trung,T. Thừa Thiên - Huế,DC06,NGHỆ AN,18.829766,105.661935
3007,Spinach,Miền Trung,T. Đắk Lắk,DC05,BÌNH DƯƠNG,10.903039,106.757201
3007,Spinach,Miền Trung,T. Đắk Nông,DC05,BÌNH DƯƠNG,10.903039,106.757201
3007,Spinach,Miền Trung,TP. Đà Nẵng,DC07,ĐÀ NẴNG,16.079667,108.138906
3007,Spinach,Miền Tây,T. Vĩnh Long,DC02,CẦN THƠ,10.001594,105.774215
3007,Spinach,Miền Tây,TP. Cần Thơ,DC02,CẦN THƠ,10.001594,105.774215
3007,Spinach,HCM,TP. Hồ Chí Minh,DC08,HỒ CHÍ MINH,10.806908,106.607708
3007,Spinach,Miền Đông,T. Bà Rịa - Vũng Tàu,DC09,BÌNH DƯƠNG,10.950077,106.73098
3007,Spinach,Miền Đông,T. Bình Dương,DC05,BÌNH DƯƠNG,10.903039,106.757201
3007,Spinach,Miền Đông,T. Bình Phước,DC09,BÌNH DƯƠNG,10.950077,106.73098
3007,Spinach,Miền Đông,T. Bình Thuận,DC05,BÌNH DƯƠNG,10.903039,106.757201
3007,Spinach,Miền Đông,T. Lâm Đồng,DC05,BÌNH DƯƠNG,10.903039,106.757201
3007,Spinach,Miền Đông,T. Tây Ninh,DC05,BÌNH DƯƠNG,10.903039,106.757201
3007,Spinach,Miền Đông,T. Đồng Nai,DC09,BÌNH DƯƠNG,10.950077,106.73098
2004,Broccoli,Miền Bắc,T. Vĩnh Phúc,DC01,HƯNG YÊN,20.914679,106.075413
2004,Broccoli,Miền Bắc,T. Hà Nam,DC06,NGHỆ AN,18.829766,105.661935
2004,Broccoli,Miền Bắc,T. Phú Thọ,DC01,HƯNG YÊN,20.914679,106.075413
3010,Spinach,Miền Bắc,T. Bắc Giang,DC03,HẢI DƯƠNG,20.902447,106.439247
3010,Spinach,Miền Bắc,T. Bắc Kạn,DC03,HẢI DƯƠNG,20.902447,106.439247
3010,Spinach,Miền Bắc,T. Bắc Ninh,DC03,HẢI DƯƠNG,20.902447,106.439247
3010,Spinach,Miền Bắc,T. Cao Bằng,DC03,HẢI DƯƠNG,20.902447,106.439247
3010,Spinach,Miền Bắc,T. Hà Giang,DC01,HƯNG YÊN,20.914679,106.075413
3010,Spinach,Miền Bắc,T. Hà Nam,DC06,NGHỆ AN,18.829766,105.661935
3010,Spinach,Miền Bắc,T. Hà Tĩnh,DC06,NGHỆ AN,18.829766,105.661935
3010,Spinach,Miền Bắc,T. Hòa Bình,DC01,HƯNG YÊN,20.914679,106.075413
3010,Spinach,Miền Bắc,T. Hưng Yên,DC01,HƯNG YÊN,20.914679,106.075413
3010,Spinach,Miền Bắc,T. Hải Dương,DC03,HẢI DƯƠNG,20.902447,106.439247
3010,Spinach,Miền Bắc,T. Lai Châu,DC01,HƯNG YÊN,20.914679,106.075413
